divisao_cnae;divisao_descricao;quantidade;tipo_empresa;percentual_no_tipo
33;MANUTENÇÃO, REPARAÇÃO E INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS;5;EPP;0.34
23;FABRICAÇÃO DE PRODUTOS DE MINERAIS NÃO-METÁLICOS;5;EPP;0.34
31;FABRICAÇÃO DE MÓVEIS;5;EPP;0.34
95;REPARAÇÃO E MANUTENÇÃO DE EQUIPAMENTOS DE INFORMÁTICA E COMUNICAÇÃO E DE OBJETOS PESSOAIS E DOMÉSTICOS;4;EPP;0.27
38;"COLETA, TRATAMENTO E DISPOSIÇÃO DE RESÍDUOS; RECUPERAÇÃO DE MATERIAIS";4;EPP;0.27
87;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA INTEGRADAS COM ASSISTÊNCIA SOCIAL, PRESTADAS EM RESIDÊNCIAS COLETIVAS E PARTICULARES;4;EPP;0.27
32;FABRICAÇÃO DE PRODUTOS DIVERSOS;4;EPP;0.27
52;ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES;4;EPP;0.27
55;ALOJAMENTO;4;EPP;0.27
18;IMPRESSÃO E REPRODUÇÃO DE GRAVAÇÕES;3;EPP;0.2
28;FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS;3;EPP;0.2
59;"ATIVIDADES CINEMATOGRÁFICAS, PRODUÇÃO DE VÍDEOS E DE PROGRAMAS DE TELEVISÃO; GRAVAÇÃO DE SOM E EDIÇÃO DE MÚSICA";3;EPP;0.2
80;ATIVIDADES DE VIGILÂNCIA, SEGURANÇA E INVESTIGAÇÃO;3;EPP;0.2
53;CORREIO E OUTRAS ATIVIDADES DE ENTREGA;3;EPP;0.2
21;FABRICAÇÃO DE PRODUTOS FARMOQUÍMICOS E FARMACÊUTICOS;2;EPP;0.14
11;FABRICAÇÃO DE BEBIDAS;2;EPP;0.14
30;FABRICAÇÃO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEÍCULOS AUTOMOTORES;1;EPP;0.07
20;FABRICAÇÃO DE PRODUTOS QUÍMICOS;1;EPP;0.07
24;METALURGIA;1;EPP;0.07
26;FABRICAÇÃO DE EQUIPAMENTOS DE INFORMÁTICA, PRODUTOS ELETRÔNICOS E ÓPTICOS;1;EPP;0.07
13;FABRICAÇÃO DE PRODUTOS TÊXTEIS;1;EPP;0.07
60;ATIVIDADES DE RÁDIO E DE TELEVISÃO;1;EPP;0.07
78;SELEÇÃO, AGENCIAMENTO E LOCAÇÃO DE MÃO-DE-OBRA;1;EPP;0.07
91;ATIVIDADES LIGADAS AO PATRIMÔNIO CULTURAL E AMBIENTAL;1;EPP;0.07
47;COMÉRCIO VAREJISTA;7547;ME (Microempresa);29.7
56;ALIMENTAÇÃO;3289;ME (Microempresa);12.94
43;SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO;1587;ME (Microempresa);6.25
96;OUTRAS ATIVIDADES DE SERVIÇOS PESSOAIS;1172;ME (Microempresa);4.61
45;COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;1167;ME (Microempresa);4.59
85;EDUCAÇÃO;1164;ME (Microempresa);4.58
82;SERVIÇOS DE ESCRITÓRIO, DE APOIO ADMINISTRATIVO E OUTROS SERVIÇOS PRESTADOS PRINCIPALMENTE ÀS EMPRESAS;1157;ME (Microempresa);4.55
73;PUBLICIDADE E PESQUISA DE MERCADO;823;ME (Microempresa);3.24
49;TRANSPORTE TERRESTRE;616;ME (Microempresa);2.42
86;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;578;ME (Microempresa);2.27
46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;503;ME (Microempresa);1.98
95;REPARAÇÃO E MANUTENÇÃO DE EQUIPAMENTOS DE INFORMÁTICA E COMUNICAÇÃO E DE OBJETOS PESSOAIS E DOMÉSTICOS;344;ME (Microempresa);1.35
97;SERVIÇOS DOMÉSTICOS;277;ME (Microempresa);1.09
14;CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS;275;ME (Microempresa);1.08
53;CORREIO E OUTRAS ATIVIDADES DE ENTREGA;275;ME (Microempresa);1.08
81;SERVIÇOS PARA EDIFÍCIOS E ATIVIDADES PAISAGÍSTICAS;269;ME (Microempresa);1.06
87;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA INTEGRADAS COM ASSISTÊNCIA SOCIAL, PRESTADAS EM RESIDÊNCIAS COLETIVAS E PARTICULARES;257;ME (Microempresa);1.01
25;FABRICAÇÃO DE PRODUTOS DE METAL, EXCETO MÁQUINAS  E EQUIPAMENTOS;247;ME (Microempresa);0.97
10;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;234;ME (Microempresa);0.92
93;ATIVIDADES ESPORTIVAS E DE RECREAÇÃO E LAZER;209;ME (Microempresa);0.82
41;CONSTRUÇÃO DE EDIFÍCIOS;206;ME (Microempresa);0.81
74;OUTRAS ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS;188;ME (Microempresa);0.74
58;EDIÇÃO E EDIÇÃO INTEGRADA À IMPRESSÃO;188;ME (Microempresa);0.74
33;MANUTENÇÃO, REPARAÇÃO E INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS;180;ME (Microempresa);0.71
71;"SERVIÇOS DE ARQUITETURA E ENGENHARIA; TESTES E ANÁLISES TÉCNICAS";169;ME (Microempresa);0.67
68;ATIVIDADES IMOBILIÁRIAS;165;ME (Microempresa);0.65
77;ALUGUÉIS NÃO-IMOBILIÁRIOS E GESTÃO DE ATIVOS INTANGÍVEIS NÃO-FINANCEIROS;158;ME (Microempresa);0.62
52;ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES;158;ME (Microempresa);0.62
70;ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL;135;ME (Microempresa);0.53
32;FABRICAÇÃO DE PRODUTOS DIVERSOS;128;ME (Microempresa);0.5
62;ATIVIDADES DOS SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO;127;ME (Microempresa);0.5
69;ATIVIDADES JURÍDICAS, DE CONTABILIDADE E DE AUDITORIA;124;ME (Microempresa);0.49
90;ATIVIDADES ARTÍSTICAS, CRIATIVAS E DE ESPETÁCULOS;116;ME (Microempresa);0.46
79;AGÊNCIAS DE VIAGENS, OPERADORES TURÍSTICOS E SERVIÇOS DE RESERVAS;105;ME (Microempresa);0.41
01;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;91;ME (Microempresa);0.36
31;FABRICAÇÃO DE MÓVEIS;86;ME (Microempresa);0.34
59;"ATIVIDADES CINEMATOGRÁFICAS, PRODUÇÃO DE VÍDEOS E DE PROGRAMAS DE TELEVISÃO; GRAVAÇÃO DE SOM E EDIÇÃO DE MÚSICA";76;ME (Microempresa);0.3
13;FABRICAÇÃO DE PRODUTOS TÊXTEIS;72;ME (Microempresa);0.28
;Divisão não mapeada;71;ME (Microempresa);0.28
23;FABRICAÇÃO DE PRODUTOS DE MINERAIS NÃO-METÁLICOS;67;ME (Microempresa);0.26
18;IMPRESSÃO E REPRODUÇÃO DE GRAVAÇÕES;62;ME (Microempresa);0.24
63;ATIVIDADES DE PRESTAÇÃO DE SERVIÇOS DE INFORMAÇÃO;57;ME (Microempresa);0.22
55;ALOJAMENTO;56;ME (Microempresa);0.22
